time,recod,judge
0,5,1
0.5,2,1
1,1,1
1.5,2,1
2,3,1
2.5,0,1
3,4,1
3.5,2,1
4,1,1
4.5,1,1
5,1,1
5.5,1,1
6,4,1
6.5,0,1
7,3,1
7.5,1,1
8,2,1
8.5,2,1
9,5,1
9.5,3,1
10,1,1
10.5,1,1
11,0,1
11.5,0,1
12,1,1
12.5,0,1
13,0,1
13.5,0,1
14,0,1
14.5,0,1
15,1,1
15.5,1,1
16,0,1
16.5,0,1
17,1,1
17.5,0,1
18,0,1
18.5,0,1
19,0,1
19.5,0,1
20,0,0
20.5,0,0
21,1,0
21.5,0,0
22,1,0
22.5,0,0
23,0,0
23.5,0,0
24,0,0
24.5,0,0
25,0,0
25.5,0,0
26,0,0
26.5,1,0
27,1,0
27.5,0,0
28,0,0
28.5,0,0
29,0,0
29.5,0,0
30,0,0
30.5,0,0
31,0,0
31.5,0,0
32,0,0
32.5,0,0
33,0,0
33.5,0,0
34,0,0
34.5,0,0
35,0,0
35.5,0,0
36,0,0
36.5,0,0
37,0,0
37.5,0,0
38,0,0
38.5,1,0
39,0,0
39.5,0,0
40,0,0
40.5,0,0
41,0,0
41.5,0,0
42,0,0
42.5,0,0
43,0,0
43.5,0,0
44,0,0
44.5,0,0
45,0,0
45.5,0,0
46,0,0
46.5,0,0
47,1,0
47.5,0,0
48,0,0
48.5,0,0
49,0,0
49.5,0,0
50,1,0
50.5,0,0
51,2,0
51.5,1,0
52,3,0
52.5,4,1
53,3,1
53.5,2,1
54,4,1
54.5,5,1
55,3,1
55.5,4,1
56,5,1
56.5,3,1
57,5,1
57.5,3,1
58,2,1
58.5,4,1
59,1,1
59.5,4,1
